,train-auc-mean,train-auc-std,train-aucpr-mean,train-aucpr-std,test-auc-mean,test-auc-std,test-aucpr-mean,test-aucpr-std
0,0.8657879000000002,0.007077877823896084,0.8593624999999999,0.004614485177135156,0.8265722,0.011247259886745744,0.8253792000000001,0.009108584981214154
1,0.9140460000000001,0.007939301946644927,0.918487,0.01040869877554345,0.8704867000000002,0.00881638864898775,0.8769512,0.01216150020186653
2,0.9317862,0.00434184011221049,0.9357913999999999,0.004839233951773747,0.8851492000000001,0.007291268542578852,0.8910595000000001,0.008137759412147796
3,0.9440726000000002,0.0034383158435489854,0.9489274999999999,0.004676041258372304,0.8961431,0.006089570747597899,0.9055261,0.007349073512355151
4,0.9534819999999999,0.0010355947083680792,0.9584103,0.0015206407235109772,0.9051047999999999,0.0044503545207095485,0.9157032,0.0040467221995091245
5,0.9597896,0.0007663563400925173,0.9643374999999998,0.0009753261249448623,0.9111486,0.0053004842835348565,0.9225699,0.004639359836227384
6,0.9646996,0.0007819922250252942,0.9685793,0.0008596359752825472,0.9149087999999999,0.005584227122888184,0.9257051000000001,0.005243735032398196
7,0.9689658,0.0006161290124641044,0.9723462000000002,0.0006755700999896379,0.9184212,0.005208466968312276,0.9289716,0.004659154562793557
8,0.9719837,0.0007283394881509521,0.9750973999999999,0.0007755444797044156,0.9208150999999999,0.004635624110084845,0.9319577000000001,0.004242723701821739
9,0.9750212000000001,0.0006152841294881621,0.9777442000000001,0.0006726698744555097,0.9234173999999999,0.0044693502480785815,0.9344407,0.004063215870465199
10,0.9775281999999998,0.0005044118951809138,0.9799598999999999,0.000490705094736128,0.9256579,0.0046825409224052665,0.9366125000000001,0.004567462539528937
11,0.9797492,0.0004965693909213339,0.9819084,0.0004394886119116076,0.9270056999999999,0.004595665915838509,0.9381667,0.004342258699110397
12,0.9818479,0.0004308963796552461,0.9837085,0.0004036382662731457,0.9282684,0.0046648953728888635,0.9395673,0.004275463391259476
13,0.9836500999999999,0.00039252399926628596,0.9852848999999999,0.00037274104952366734,0.9293314,0.004710701438214908,0.9406022,0.004242233110049465
14,0.9851784,0.0004591141905887909,0.9866178,0.0004140627488678384,0.9301918,0.0046416081221921325,0.9415029,0.004261842452508074
15,0.9865159,0.0004515321583231744,0.9877967,0.00041395000905904177,0.9310515,0.004644058230685735,0.9421487000000001,0.0042628009113727106
16,0.9878630999999999,0.00037552348794714797,0.9889607999999999,0.0003531602469134798,0.9316829999999999,0.004916963819268934,0.9426139000000001,0.004397931978782759
17,0.9890443,0.00032797013583555154,0.9900192999999999,0.0003071039074971169,0.9328979000000001,0.004921210957681054,0.9436743999999999,0.004418360084918375
18,0.9900901000000001,0.0003305003630860385,0.9909369000000001,0.0002965297455568373,0.9336047000000001,0.004818874454683374,0.9442591000000002,0.0042849008961701905
19,0.9910423999999999,0.0003831222259279653,0.9917781,0.0003366257417370076,0.934427,0.00466044141686172,0.945187,0.004082113472210192
20,0.9919293999999999,0.00033724299844474086,0.9925682,0.0002957058673750033,0.9349584,0.004729395504713032,0.9456551000000001,0.004117280229714772
21,0.9926459999999999,0.0003825428080620537,0.9932188999999999,0.00034422709074098396,0.935371,0.004834431176467402,0.9460670999999999,0.004125497168827055
22,0.9933437000000002,0.0003348220572184606,0.9938461000000001,0.0003056803722845163,0.9359169999999999,0.004958888827146691,0.9466855000000001,0.004217791110285088
23,0.9939991000000001,0.00030905418618745593,0.9944388999999999,0.00027850438057596896,0.9364913000000001,0.004815632815113699,0.9471803,0.004071194862690809
24,0.9945681000000001,0.00031013882375477447,0.9949562999999999,0.0002825643466540197,0.9368893,0.0047790442778865285,0.9474999000000001,0.004053551466307063
25,0.9950579999999999,0.00031309231865377237,0.9954050000000001,0.00028539831814501773,0.9371917,0.004834707479258716,0.9477726000000001,0.004119336213517913
26,0.9955361,0.0002949611669355969,0.9958428999999999,0.00027173422677315254,0.9375472,0.004688669017962345,0.9480465,0.0039033558958926624
27,0.9959812000000001,0.0003018021868708197,0.9962525999999998,0.00027930134263908044,0.9379162000000001,0.004733628160301563,0.94838,0.003895744601485076
28,0.9964123,0.0002562432633260909,0.9966489,0.00023564738487833956,0.9382751999999999,0.004548857346631122,0.9486805,0.003807656162260452
29,0.996776,0.00021871396846110584,0.9969825,0.00020393589679113005,0.9385527,0.004567079812089988,0.9489183000000001,0.0038857472653274923
30,0.9971012,0.00020260888430668637,0.9972837999999999,0.00018756374916279185,0.9387841,0.004409889827421984,0.9491228999999999,0.003774948170505114
31,0.9973919,0.00020109075065749874,0.9975523999999998,0.000183453645371245,0.9393273000000001,0.004265774631881051,0.9495998999999999,0.0036624474999650066
32,0.9976426,0.00018382176149738146,0.9977845999999999,0.00017022056280015788,0.939443,0.004213863951292217,0.9497137,0.0035575083148181173
33,0.9978796999999998,0.00014545861954522003,0.9980043000000001,0.00013766266741569022,0.9399109000000001,0.004171926951661535,0.9500513999999999,0.0035564662292787196
34,0.9980892000000001,0.00013478338176496136,0.9982009999999999,0.00012873849463156714,0.9402784000000001,0.004110719017398302,0.9503909,0.003518834166311336
35,0.9982810999999998,0.00011639798108212784,0.9983804999999999,0.0001120243277150035,0.9404589,0.003998520737722881,0.9506607,0.0033237106086420813
36,0.9984416999999999,0.00011022073307685544,0.9985326999999999,0.00010424591119079655,0.9407149,0.004063953160409222,0.9508195,0.0033517182235385003
37,0.9986156000000002,9.623949293299455e-05,0.9986956999999999,8.800005681817114e-05,0.9409903,0.003999180667336749,0.9510961,0.0032925507877631845
38,0.9987569000000001,9.717556277173613e-05,0.9988265000000002,8.857567386140004e-05,0.9410475000000001,0.003843047313005668,0.9511448999999998,0.0032115308327961044
39,0.9988781,8.89488055006867e-05,0.9989410000000001,7.960401999899625e-05,0.9413423999999999,0.004012480733910129,0.9514541,0.0033670879540041677
40,0.9989733000000001,9.148666569504287e-05,0.9990302999999999,8.010249683998224e-05,0.9416213000000001,0.004059603085278163,0.9517359000000001,0.0034459216024164065
41,0.9990793,0.00010441173305716993,0.999128,9.08063874405348e-05,0.9416289999999998,0.004147201586612345,0.9517774000000001,0.0034879317711216727
42,0.9991722999999999,8.719065316878236e-05,0.9992157,7.870203301058135e-05,0.9417482999999999,0.004118426666823136,0.9518692,0.003488737731615838
43,0.9992493,7.2215026137227e-05,0.9992875999999999,6.551366269716388e-05,0.9419270999999998,0.004202673231408794,0.9520233000000001,0.003495812925486694
44,0.9993244000000001,5.2801893905430625e-05,0.9993584999999999,4.925088831686809e-05,0.9420862000000001,0.004140614563081173,0.9521408000000001,0.0034434766385152155
45,0.9993922,5.5793906477322416e-05,0.9994218,5.318044753478894e-05,0.9423152,0.004031462434402692,0.9523282000000002,0.003349769120402187
46,0.9994567,5.9240273463258774e-05,0.9994833,5.4088908289958194e-05,0.9424543,0.004049426454450081,0.9524547,0.003353434539393896
47,0.999515,4.5139782897112336e-05,0.9995378,4.1825351164113515e-05,0.9425125,0.004162350712037616,0.9524975999999998,0.0034313662351897274
48,0.9995707999999999,4.5214599412134976e-05,0.9995915,4.098353327864358e-05,0.9426800999999999,0.004052997889217319,0.9526294,0.0033964094040619007
49,0.9996191999999999,4.0134274629065575e-05,0.9996371000000002,3.620345287399372e-05,0.9428031999999998,0.004087338248787343,0.9527171000000001,0.0034577412121210077
50,0.9996551,3.526031763895184e-05,0.9996710999999999,3.1954498900768794e-05,0.9428460999999999,0.004097868310475582,0.9527727,0.0034630613927563924
51,0.9996856000000001,3.7667492616294955e-05,0.9997005999999999,3.3944660846748186e-05,0.9430890999999999,0.003943778275968362,0.953004,0.0033627196433839105
52,0.9997204,3.576926054589246e-05,0.9997330999999999,3.2194564758674366e-05,0.9432759999999998,0.00396995874033976,0.9531485,0.0033858223594866784
53,0.9997468000000002,3.318373095358577e-05,0.9997589000000001,3.022068827806173e-05,0.943361,0.0039774465426954606,0.9531904999999998,0.003439382684436254
54,0.9997734999999999,3.089417420809216e-05,0.9997837,2.869860623792043e-05,0.9435697,0.003956103564114564,0.9533872999999999,0.003413115557668698
55,0.9997963999999999,2.694141792852402e-05,0.9998055000000001,2.518432051891956e-05,0.9436923000000002,0.003945582670531703,0.9534775999999999,0.003410469211120368
56,0.9998175999999999,2.4577225229888788e-05,0.9998255,2.2659435120920825e-05,0.9437388999999999,0.003979523525498996,0.9535154999999997,0.003389719140282856
57,0.9998341999999999,2.2058105086345632e-05,0.9998412999999999,2.078966089191475e-05,0.9437934,0.0039815551785702995,0.9535685,0.0033730766741952253
58,0.9998522000000001,2.0975223479132574e-05,0.9998584000000001,2.0080836635954537e-05,0.9438930000000001,0.0038960705075755443,0.9536525000000001,0.0032953193547818867
59,0.9998667000000001,1.8628204422316712e-05,0.9998720999999999,1.6973214191778878e-05,0.9439988999999999,0.003901583023594387,0.9537761999999999,0.0033247709635401902
60,0.9998814999999999,2.1100947846007738e-05,0.9998862000000001,1.915097908722752e-05,0.944091,0.003894552682914955,0.9538323999999999,0.003309299297434434
61,0.9998942,1.904100837666736e-05,0.9998984999999999,1.7142053552597604e-05,0.944189,0.0038248804425759643,0.9539,0.0032820737651673786
62,0.9999071,1.792456415090945e-05,0.9999106,1.6076069171286578e-05,0.9441773999999998,0.003811442356903747,0.9539084000000001,0.00327635548132373
63,0.9999172,1.2424169992391987e-05,0.9999205,1.1324751652898455e-05,0.9442584999999999,0.003879506341018131,0.9539892,0.0033147211888784923
64,0.9999262999999999,1.2008746812225856e-05,0.9999289000000001,1.0848502200767139e-05,0.9443427999999999,0.0038758578353701198,0.9540664000000001,0.0032550810496821793
65,0.9999358,9.672641831481112e-06,0.9999376999999999,8.843641783796319e-06,0.9444333,0.0038938938108274163,0.9541289000000001,0.003292067813700078
66,0.9999431,8.27586853448653e-06,0.9999447,7.74661216275709e-06,0.9445387999999999,0.003809005140453362,0.9542184,0.0032363128464349637
67,0.9999495999999999,9.199999999982653e-06,0.9999507999999999,9.053176238219591e-06,0.9445479999999999,0.003876717761199541,0.9542039000000001,0.003319360494131356
68,0.9999545000000001,9.222255689377226e-06,0.9999557000000001,8.579627031535096e-06,0.944604,0.0038276465615309937,0.9542476000000001,0.003303800363218087
69,0.9999587000000002,8.602906485593623e-06,0.9999598000000001,8.146164741772895e-06,0.9448058000000001,0.0038739712389226485,0.9543726999999999,0.003361399293449081
70,0.9999642,7.626270385957926e-06,0.9999651,7.020683727394776e-06,0.9448363000000001,0.0038672724768239477,0.954375,0.0033419297419305543
71,0.9999690000000001,6.340346993631139e-06,0.9999699,5.8898217290425e-06,0.9448513000000001,0.003936036434028535,0.9543644,0.003389679194260126
72,0.999973,6.587867636794191e-06,0.9999737999999999,6.029925372664756e-06,0.9450356,0.003925440005910155,0.9545181999999999,0.0033818126145604257
73,0.9999759999999999,6.418722614355444e-06,0.9999768,5.979966555106427e-06,0.9450961999999998,0.0039062795803680005,0.954622,0.0034074676227368737
74,0.9999779,6.876772498770836e-06,0.9999786,6.343500610845774e-06,0.9451097,0.0039681276957779415,0.9546351,0.0034542696029696445
75,0.9999804999999998,5.7140178508861625e-06,0.999981,5.291502622138669e-06,0.9452265000000001,0.0039775193588466725,0.9547286999999999,0.003486962490477919
76,0.9999822,5.65331761002449e-06,0.9999828000000001,5.075431016178321e-06,0.9452073999999999,0.004014330110989868,0.9547189999999999,0.003508725580606155
77,0.9999839999999999,5.099019513597884e-06,0.9999844,4.7791212581397735e-06,0.9451898,0.004005056449040399,0.9546830999999999,0.0035021624305563025
78,0.9999856999999999,5.404627646755764e-06,0.999986,5.099019513591352e-06,0.945301,0.003956902677600268,0.9547935000000001,0.003466502250107446
79,0.9999876000000001,5.1807335388089865e-06,0.9999880000000001,4.604345773288317e-06,0.9453729000000001,0.003978176528260139,0.9548577,0.0034825499580049078
80,0.9999889,4.928488612140221e-06,0.9999892999999999,4.405678154390134e-06,0.9453406000000001,0.004041306575848962,0.9548458,0.003528371091594532
81,0.9999903,4.290687590589084e-06,0.9999904999999998,4.006245124829934e-06,0.9454209,0.003961175644931692,0.9549147,0.003463649868274781
82,0.9999908999999999,4.437341546467505e-06,0.9999911000000001,4.1581245772732636e-06,0.9454855,0.003936729130890255,0.9549737,0.003464614900678007
83,0.9999921,3.7536648758317736e-06,0.9999921,3.7536648758317736e-06,0.9455366,0.0039219515601292285,0.9549966999999999,0.0034193208697049777
84,0.9999924,3.826225293951428e-06,0.9999925,3.7749172176498116e-06,0.9455838,0.003913187698028309,0.9550474,0.003399558771370199
85,0.9999933000000001,3.606937759384435e-06,0.9999936,3.231098884281529e-06,0.9456380999999998,0.003937165946464539,0.9551381999999998,0.0034396688735981707
86,0.9999944000000001,3.1685959035741127e-06,0.9999945,3.008321791318342e-06,0.9457514999999999,0.0038350660033433575,0.9551974,0.003401661070712367
87,0.9999945,3.0740852298094632e-06,0.9999946000000002,2.9732137494819846e-06,0.9458686999999999,0.0038466569654701504,0.9552744000000001,0.003430520840921978
88,0.9999948999999999,3.299999999998338e-06,0.9999951999999999,3.124099870357968e-06,0.9459204,0.0038320187421253538,0.9552970999999999,0.0034170991045037115
89,0.9999958999999998,2.3430749027645077e-06,0.999996,2.1908902300076534e-06,0.9459658999999998,0.003745038623298844,0.9553223000000001,0.003346988887044611
90,0.9999965,2.012461179746996e-06,0.9999966,1.8547236990938126e-06,0.9460460999999999,0.00374560845390973,0.9553963,0.0033442168903945317
91,0.9999974,1.5620499351807609e-06,0.9999974,1.5620499351807609e-06,0.9461421000000001,0.0038144623068002725,0.9554581000000001,0.0034143723420271576
92,0.9999975000000001,1.4317821063222824e-06,0.9999976,1.3564659966182258e-06,0.9461307,0.0037903198558960722,0.9554286999999999,0.0034070048444344845
93,0.9999979,8.306623862715876e-07,0.9999979,8.306623862715876e-07,0.9462116,0.003817951785971107,0.9554875,0.0034490115468058524
94,0.9999977,8.99999999993807e-07,0.9999978,9.797958971006537e-07,0.9462954,0.0037964138920829173,0.9555317000000001,0.0034271444104385083
95,0.9999983,1.1874342086930583e-06,0.9999983,1.1874342086930583e-06,0.9464065999999999,0.0038175237576209033,0.9556258999999999,0.0034235840124057088
